source_id,source_name,iso3_country,lat,lon,capacity,capacity_units,capacity_factor
34157119,Biloxi Urban Area,USA,,,3959800.077,m^2,54.06721337512616
1052261,Bingham County,USA,43.21725276743591,-112.39876760195116,800801.845,m^2,46.05970190790457
34157243,Binghamton Urban Area,USA,,,1827748.851,m^2,47.898476873396206
34157135,Birmingham Urban Area,USA,,,21717408.697,m^2,54.751166385898216
34157126,Bismarck Urban Area,USA,,,2414700.389,m^2,42.88446740627912
1052407,Blackford County,USA,40.47389549377501,-85.32458224365398,234341.764,m^2,49.286407215062184
1052502,Black Hawk County,USA,42.469509870775475,-92.30964439785474,4004859.554,m^2,49.25578378022691
1053608,Bladen County,USA,34.61557073106179,-78.56563496397945,274129.632,m^2,54.36729838823116
1052262,Blaine County,USA,43.41099894957429,-113.97850079464278,130145.01,m^2,42.222512050212295
1053310,Blaine County,USA,48.43323383948959,-108.95969504248733,11435.066,m^2,41.021325019024815
1053367,Blaine County,USA,41.91395778054327,-99.97574332719483,2100.36,m^2,45.555553809823074
1053847,Blaine County,USA,35.873948286130236,-98.43274450547362,104337.162,m^2,52.39340379030053
1053961,Blair County,USA,40.482075964293266,-78.34860353709215,1575711.75,m^2,48.09096165145687
1054249,Blanco County,USA,30.266739042591375,-98.39874843983912,23978.51,m^2,56.77846129721989
1054542,Bland County,USA,37.134145032055976,-81.1308437770728,15043.605,m^2,49.80599749860489
1052103,Bleckley County,USA,32.43451907381033,-83.32768526037638,105980.023,m^2,55.23534769378187
1054142,Bledsoe County,USA,35.597749024619176,-85.20484130689708,32625.848,m^2,52.9234129332056
34157163,Bloomington Urban Area,USA,,,3171710.062,m^2,49.86875240994207
34157175,Bloomington Urban Area,USA,,,2075179.369,m^2,51.05111245976347
1051712,Blount County,USA,33.98158274314337,-86.56797446857765,158857.39,m^2,54.725878695350595
1054143,Blount County,USA,35.687686282677724,-83.92575631676094,1810748.638,m^2,53.390045151589945
1053030,Blue Earth County,USA,44.03586636809283,-94.06702670494757,1564049.857,m^2,48.26995179604431
1052263,Boise County,USA,43.98910344868587,-115.73107882619358,9310.786,m^2,42.867591200141426
34157062,Boise Urban Area,USA,,,8671835.356,m^2,45.83130634635633
1053117,Bolivar County,USA,33.79511999123447,-90.88059001814196,447312.977,m^2,54.87881798251518
1053202,Bollinger County,USA,37.322882020742945,-90.02671665379917,11284.591,m^2,52.535157011893475
1052302,Bond County,USA,38.8860333709594,-89.43605733655997,90733.741,m^2,51.63184644839013
1054076,Bon Homme County,USA,42.98825963574281,-97.88381958312954,54464.62,m^2,46.751643911221635
