source_name,start_time,avg(e.emissions_quantity),any_value(lat),any_value(lon),capacity,co2_per_m2
Gulf County,2021-01-01,190.649,29.84142702555908,-85.3094592797289,127474.076,0.0015
Saint Bernard Parish,2021-01-01,1645.867,29.88931969849011,-89.22710520410486,663059.933,0.0025
Ferry County,2021-01-01,131.399,48.46942998137829,-118.51584022112736,30323.862,0.0043
Appling County,2021-01-01,678.192,31.749226600208065,-82.2890478633004,369576.366,0.0018
Saint Mary's County,2021-01-01,3075.429,38.242309468773925,-76.52904668231758,494227.069,0.0062
Williams County,2021-01-01,2475.801,41.560753442121474,-84.58866240300131,990747.575,0.0025
Hancock County,2021-01-01,26.345,36.52403293359328,-83.22180200232381,4256.306,0.0062
McPherson County,2021-01-01,1542.646,38.392415301600934,-97.6484933405177,855713.969,0.0018
McClain County,2021-01-01,2103.95,35.01061137387379,-97.4454181729165,494339.676,0.0043
La Plata County,2021-01-01,910.972,37.284470120501005,-107.84186210954704,366601.821,0.0025
